RULE,ENABLED,PRETTY_NAME,COLOR
primaryExpression,0,,
genericSelection,0,,
genericAssocList,0,,
genericAssociation,0,,
postfixExpression,0,,
argumentExpressionList,0,,
unaryExpression,0,,
unaryOperator,0,,
castExpression,0,,
multiplicativeExpression,0,,
additiveExpression,0,,
shiftExpression,0,,
relationalExpression,0,,
equalityExpression,0,,
andExpression,0,,
exclusiveOrExpression,0,,
inclusiveOrExpression,0,,
logicalAndExpression,0,,
logicalOrExpression,0,,
conditionalExpression,0,,
assignmentExpression,0,,
assignmentOperator,0,,
expression,0,,
constantExpression,0,,
declaration,0,,
declarationSpecifiers,0,,
declarationSpecifiers2,0,,
declarationSpecifier,0,,
initDeclaratorList,0,,
initDeclarator,0,,
storageClassSpecifier,0,,
typeSpecifier,0,,
structOrUnionSpecifier,0,,
structOrUnion,0,,
structDeclarationList,0,,
structDeclaration,0,,
specifierQualifierList,0,,
structDeclaratorList,0,,
structDeclarator,0,,
enumSpecifier,0,,
enumeratorList,0,,
enumerator,0,,
enumerationConstant,0,,
atomicTypeSpecifier,0,,
typeQualifier,0,,
functionSpecifier,0,,
alignmentSpecifier,0,,
declarator,0,,
directDeclarator,0,,
gccDeclaratorExtension,0,,
gccAttributeSpecifier,0,,
gccAttributeList,0,,
gccAttribute,0,,
nestedParenthesesBlock,0,,
pointer,0,,
typeQualifierList,0,,
parameterTypeList,0,,
parameterList,0,,
parameterDeclaration,0,,
identifierList,0,,
typeName,0,,
abstractDeclarator,0,,
directAbstractDeclarator,0,,
typedefName,0,,
initializer,0,,
initializerList,0,,
designation,0,,
designatorList,0,,
designator,0,,
staticAssertDeclaration,0,,
statement,0,,
labeledStatement,0,,
compoundStatement,0,,
blockItemList,0,,
blockItem,0,,
expressionStatement,0,,
selectionStatement,0,,
iterationStatement,0,,
jumpStatement,0,,
compilationUnit,0,,
translationUnit,0,,
externalDeclaration,0,,
functionDefinition,0,,
declarationList,0,,
._EPSILON,0,,
._EOF,0,,
._INVALID,0,,
.Auto,0,,
.Break,0,,
.Case,0,,
.Char,0,,
.Const,0,,
.Continue,0,,
.Default,0,,
.Do,0,,
.Double,0,,
.Else,0,,
.Enum,0,,
.Extern,0,,
.Float,0,,
.For,0,,
.Goto,0,,
.If,0,,
.Inline,0,,
.Int,0,,
.Long,0,,
.Register,0,,
.Restrict,0,,
.Return,0,,
.Short,0,,
.Signed,0,,
.Sizeof,0,,
.Static,0,,
.Struct,0,,
.Switch,0,,
.Typedef,0,,
.Union,0,,
.Unsigned,0,,
.Void,0,,
.Volatile,0,,
.While,0,,
.Alignas,0,,
.Alignof,0,,
.Atomic,0,,
.Bool,0,,
.Complex,0,,
.Generic,0,,
.Imaginary,0,,
.Noreturn,0,,
.StaticAssert,0,,
.ThreadLocal,0,,
.LeftParen,0,,
.RightParen,0,,
.LeftBracket,0,,
.RightBracket,0,,
.LeftBrace,0,,
.RightBrace,0,,
.Less,0,,
.LessEqual,0,,
.Greater,0,,
.GreaterEqual,0,,
.LeftShift,0,,
.RightShift,0,,
.Plus,0,,
.PlusPlus,0,,
.Minus,0,,
.MinusMinus,0,,
.Star,0,,
.Div,0,,
.Mod,0,,
.And,0,,
.Or,0,,
.AndAnd,0,,
.OrOr,0,,
.Caret,0,,
.Not,0,,
.Tilde,0,,
.Question,0,,
.Colon,0,,
.Semi,0,,
.Comma,0,,
.Assign,0,,
.StarAssign,0,,
.DivAssign,0,,
.ModAssign,0,,
.PlusAssign,0,,
.MinusAssign,0,,
.LeftShiftAssign,0,,
.RightShiftAssign,0,,
.AndAssign,0,,
.XorAssign,0,,
.OrAssign,0,,
.Equal,0,,
.NotEqual,0,,
.Arrow,0,,
.Dot,0,,
.Ellipsis,0,,
.Identifier,0,,
.Constant,0,,
.StringLiteral,0,,
.ComplexDefine,0,,
.AsmBlock,0,,
.LineAfterPreprocessing,0,,
.LineDirective,0,,
.PragmaDirective,0,,
.Whitespace,0,,
.Newline,0,,
.BlockComment,0,,
.LineComment,0,,
