RULE,ENABLED,PRETTY_NAME,COLOR
file,0,,
form,0,,
forms,0,,
list,0,,
vector,0,,
map,0,,
set,0,,
reader_macro,0,,
quote,0,,
backtick,0,,
unquote,0,,
unquote_splicing,0,,
tag,0,,
deref,0,,
gensym,0,,
lambda,0,,
meta_data,0,,
var_quote,0,,
host_expr,0,,
discard,0,,
dispatch,0,,
regex,0,,
literal,0,,
string,0,,
hex,0,,
bin,0,,
bign,0,,
number,0,,
character,0,,
named_char,0,,
any_char,0,,
u_hex_quad,0,,
nil,0,,
keyword,0,,
simple_keyword,0,,
macro_keyword,0,,
symbol,0,,
simple_sym,0,,
ns_symbol,0,,
param_name,0,,
._EPSILON,0,,
._EOF,0,,
._INVALID,0,,
.STRING,0,,
.FLOAT,0,,
.HEX,0,,
.BIN,0,,
.LONG,0,,
.BIGN,0,,
.CHAR_U,0,,
.CHAR_NAMED,0,,
.CHAR_ANY,0,,
.NIL,0,,
.BOOLEAN,0,,
.SYMBOL,0,,
.NS_SYMBOL,0,,
.PARAM_NAME,0,,
.TRASH,0,,
