RULE,ENABLED,PRETTY_NAME,COLOR
chunk,0,,
block,0,,
stat,0,,
retstat,0,,
label,0,,
funcname,0,,
varlist,0,,
namelist,0,,
explist,0,,
exp,0,,
prefixexp,0,,
functioncall,0,,
varOrExp,0,,
var,0,,
varSuffix,0,,
nameAndArgs,0,,
args,0,,
functiondef,0,,
funcbody,0,,
parlist,0,,
tableconstructor,0,,
fieldlist,0,,
field,0,,
fieldsep,0,,
operatorOr,0,,
operatorAnd,0,,
operatorComparison,0,,
operatorStrcat,0,,
operatorAddSub,0,,
operatorMulDivMod,0,,
operatorBitwise,0,,
operatorUnary,0,,
operatorPower,0,,
number,0,,
string,0,,
._EPSILON,0,,
._EOF,0,,
._INVALID,0,,
.NAME,0,,
.NORMALSTRING,0,,
.CHARSTRING,0,,
.LONGSTRING,0,,
.INT,0,,
.HEX,0,,
.FLOAT,0,,
.HEX_FLOAT,0,,
.COMMENT,0,,
.LINE_COMMENT,0,,
.WS,0,,
.SHEBANG,0,,
